Name,Category,Website,Address,Suburb,Postcode,Telephone Phone,Latitude,Longitude
Coolum Civic Centre,Theatre and Arts,http://www.sunshinecoast.qld.gov.au,Park St,COOLUM BEACH,4573,(07) 5475 7777,-26.530694,153.089204
Coolum Peregian Aquatic Centre,Health and Fitness,http://www.swimfit.com.au,David Low Way,COOLUM BEACH,4573,(07) 5473 9042,-26.523102,153.089865
Cooyar Annual Show,Festivals and Shows,(blank),Rangemore Rd,COOYAR,4402,(07) 4692 6164,-26.965594,151.814446
Cotton Tree Aquatic Centre,Health and Fitness,http://www.swimfit.com.au,The Esplanade,COTTON TREE,4558,(07) 5443 5601,-26.654073,153.093246
Council Kickstart CQ Activities,Sport and Recreation,http://www.kickstartcq.com.au,Various venues,ROCKHAMPTON,4700,1300 225 577,-23.189479,150.962985
Cowboys Rugby League Football,Sport and Recreation,http://www.cowboys.com.au,Golf Links Dr (conditions apply) - call,KIRWAN,4817,1300 462 692,-19.43568,146.502341
Crocodile Explorer,Tourist Attraction,http://www.crocodileexplorer.com.au,"1 Spence St, The Reef Fleet Terminal",CAIRNS,4870,(07) 4031 4007,-16.925691,145.774238
Currumbin Wildlife Sanctuary,Tourist Attraction,http://www.cws.org.au,28 Tomewin St,CURRUMBIN,4223,(07) 5534 1266,-28.136139,153.488649
Dalby Aquatic Centre ,Health and Fitness,http://www.swimwiseaquatics.com.au,58E Patrick St,DALBY,4405,(07) 4662 2039,-27.177221,151.261498
Dalby Civic Theatre,Cinema,http://www.wdrc.qld.gov.au,107 Drayton St,DALBY,4405,(07) 4662 5388,-27.188713,151.269217
Dalby Show,Festivals and Shows,(blank),Nicholson St,DALBY,4405,(07) 4662 5251,-27.190698,151.242353
Darling Downs Zoo,Tourist Attraction,http://www.darlingdownszoo.com.au,21 Baines Rd,PILTON,4361,(07) 4696 4107,-27.892657,152.02641
David Fleay Wildlife Park,Tourist Attraction,http://www.npsr.qld.gov.au,West Burleigh Rd,BURLEIGH HEADS,4220,(07) 5576 2411,-28.100064,153.442222
Davis Cup Matches,Sport and Recreation,http://www.queenslandtenniscentre.com.au/,"Qld Tennis Centre, 190 King Arthur Tce",TENNYSON,4105,13 28 49,-27.531701,153.01699
Day Out With Thomas,Tourist Attraction,http://www.theworkshops.qm.qld.gov.au,North St,IPSWICH,4305,(07) 3432 5100,-27.598646,152.757904
Dayboro Annual Show,Festivals and Shows,http://www.dayboroshowsociety.com,3512 Mt Mee Rd,DAYBORO,4521,(07) 3425 1156,-27.190322,152.820858
Dayboro Pool & Gym,Health and Fitness,http://www.dayboropool.com.au,37 Williams St,DAYBORO,4521,(07) 3425 1463,-27.195154,152.826698
Deception Bay Aquatic and Fitness Centre,Health and Fitness,http://www.moretonbay.qld.gov.au/pools/,155-157 Maine Tce,DECEPTION BAY,4508,(07) 3203 0055,-27.19169,153.025026
Dendy Cinema Coorparoo,Cinema,http://www.dendy.com.au,300 Old Cleveland Rd,COORPAROO,4151,(07) 3137 6000,-27.494639,153.057718
Dendy Cinemas,Cinema,http://www.dendy.com.au,Portside Wharf Remora Road,HAMILTON,4007,(07) 3137 6000,-27.438143,153.069298
Dirranbandi Show,Festivals and Shows,(blank),Jane St,DIRRANBANDI,4486,(07) 4625 8637,-28.574035,148.230285
Dogwood Crossing Centre,Entertainment,http://www.wdrc.qld.gov.au,Cnr Dawson & Murilla Streets,MILES,4415,(07) 4679 4000,-26.659553,150.18683
Dolphins Health Precinct,Health and Fitness,http://www.dolphinshealthprecinct.com.au,Cnr Klinger & Ashmole Rds,REDCLIFFE,4020,(07) 3880 3729,-27.215953,153.107757
Don Ireland Swimming Complex,Health and Fitness,http://www.rockhamptonregion.qld.gov.au,Pattison St,EMU PARK,4710,(07) 4939 6500,-23.248089,150.81927
Dreamworld,Tourist Attraction,http://www.dreamworld.com.au,1 Dreamworld Parkway,COOMERA,4209,(07) 5588 1111,-27.871445,153.314123
Duffy's Buses,Transport,http://www.duffysbuses.com.au,28 Barolin St,BUNDABERG,4670,(07) 4151 4226,-24.8698,152.350426
Dunlop Park Pool,Health and Fitness,http://www.dunloppark.com.au/,794 Oxley Rd,CORINDA,4075,(07) 3379 1630,-27.546152,152.981803
Eagleby Aquatic Centre,Health and Fitness,http://www.logan.qld.gov.au,Cowper Ave,EAGLEBY,4207,(07) 3287 1247,-27.705583,153.208064
Eden Bros' Good Time Circus,Festivals and Shows,http://www.edencircus.com,Check website for details ,VARIOUS VENUES AND EVENTS,4000,0407 224 680,-27.46598,153.02394
EKKA,Festivals and Shows,http://www.ekka.com.au,RNA Showgrounds Gate entry only,BOWEN HILLS,4006,(07) 3852 1831,-27.450179,153.032482
Emerald Show,Festivals and Shows,http://www.emeraldshow.org.au,Emerald Showgrounds,EMERALD,4720,(07) 4982 4338,-24.010709,147.438528
Empire Fitness Centre,Health and Fitness,http://www.empirefitness.com.au,354 Brisbane Rd,ARUNDEL,4214,(07) 5574 6138,-27.931873,153.372177
Empire Theatre,Theatre and Arts,http://www.empiretheatre.com.au,56 Neil Street,TOOWOOMBA,4350,1300 655 299,-27.562925,151.955852
Emu Park Historical Museum,Tourist Attraction,http://www.emuparkmuseum.org.au,17 Hill St,EMU PARK,4710,(07) 4939 6080,-23.25725,150.825595
Enoggera Family Centre,Health and Fitness,http://www.brisbaneymca.org,240 South Pine Rd,ENOGGERA,4051,(07) 3355 7176,-27.417912,152.994728
Essential Fitness,Health and Fitness,http://www.essential-fitness.com.au,115 Mason Street,MAREEBA,4880,(07) 4092 2208,-17.004196,145.42118
Event Cinema,Cinema,http://www.eventcinemas.com.au,Indooroopilly Shp Cnt,INDOOROOPILLY,4068,(07) 3878 0011,-27.499721,152.972854
Event Cinema,Cinema,http://www.eventcinemas.com.au,Westfield Shp Cnt,CHERMSIDE,4032,(07) 3632 5500,-27.383648,153.030398
Event Cinema - Robina,Cinema,http://www.eventcinemas.com.au,Robina Town Centre,ROBINA,4230,(07) 5575 9955,-28.071929,153.365207
Expressions Dance Company - Performances,Theatre and Arts,http://www.expressions.org.au,QPAC - Cnr Grey/Melbourne Sts,SOUTH BRISBANE,4101,(07) 3257 4222,-27.473978,153.018398
"Expressions Dance Company - Performances, classes,",Theatre and Arts,http://www.expressions.org.au,"Judith Wright Centre, 420 Brunswick St",FORTITUDE VALLEY,4006,(07) 3257 4222,-27.449212,153.033462
Family New Years Eve,Festivals and Shows,(blank),Nicholson St,DALBY,4405,(07) 4662 5251,-27.190698,151.242353
"Farm Fantastic Rural, Home & Lifestyle Expo",Festivals and Shows,http://www.farmfantastic.com,140 Beerburrum Rd,CABOOLTURE,4510,(07) 5490 1440,-27.061396,152.946239
Feelgood Fitness,Health and Fitness,http://www.feelgoodfitness.net/warwick,118 Palmerin Street,WARWICK,4370,(07) 4667 1211,-28.217557,152.032642
Femnasium Mackay,Health and Fitness,http://www.femnasium.com.au,118 Wood Street,MACKAY,4740,(07) 4944 0420,-21.144252,149.185041
Fernvale Indoor Sports Centre,Health and Fitness,http://www.fernvaleisc.com.au,32 Banks Creek Rd,FERNVALE,4306,(07) 5426 7520,-27.454918,152.657656
Fernwood Carindale,Health and Fitness,http://www.fernwoodfitness.com.au,14 Carindale Street,CARINDALE,4152,(07) 3395 3377,-27.501542,153.103757
Fernwood Chermside,Health and Fitness,http://www.fernwoodfitness.com.au,Westfield Shopping Centre,CHERMSIDE,4032,(07) 3861 5900,-27.384459,153.022876
Fernwood Everton Park,Health and Fitness,http://www.fernwoodfitness.com.au,747 Stafford Rd,EVERTON PARK,4053,(07) 3855 5777,-27.406876,152.99113
Fernwood Maroochydore,Health and Fitness,http://www.fernwoodfitness.com.au,Sunshine Homemaker Centre,MAROOCHYDORE,4558,(07) 5479 0744,-26.655013,153.079996
Fernwood Morayfield,Health and Fitness,http://www.fernwoodfitness.com.au,379 Morayfield Road,MORAYFIELD,4510,(07) 5433 1187,-27.120593,152.956901
Fernwood Petrie,Health and Fitness,http://www.fernwoodfitness.com.au,3 O'Loan Street,PETRIE,4502,(07) 3285 5577,-27.271064,152.97776
Fernwood Robina,Health and Fitness,http://www.fernwoodfitness.com.au,"Robina Town Centre, Arbour Lane Terraces",ROBINA,4230,(07) 5593 0938,-28.071929,153.365207
Fernwood Toowoomba,Health and Fitness,http://www.fernwoodfitness.com.au,Ruthven Street,TOOWOOMBA,4350,(07) 4737 8850,-27.584054,151.949045
Ferny Hills Swimming Pool,Health and Fitness,http://www.fernyhillspool.com.au,71 Ferny Way,FERNY HILLS,4055,(07) 3351 1338,-27.401136,152.944285
Ferry Service Magnetic Island,Transport,http://www.sealinkqld.com.au,Breakwater Terminal Sir Leslie Thiess Dr,TOWNSVILLE,4810,(07) 4726 0800,-19.255062,146.824043
Ferry Service Palm Island,Transport,http://www.sealinkqld.com.au,Breakwater Terminal Sir Leslie Thiess Dr,TOWNSVILLE,4810,(07) 4726 0800,-19.255062,146.824043
Fitness Australia (Statewide),Health and Fitness,http://www.fitness.org.au,Over 220 Queensland locations,QUEENSLAND,4000,1800 885 560,-27.46598,153.02394
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,1-11 Lexington Road,SPRINGWOOD,4127,1300 557 799,-27.626197,153.148555
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,2021 Wynnum Rd,WYNNUM,4178,1300 557 799,-27.456813,153.155594
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,2084 Logan Road,UPPER MOUNT GRAVATT,4122,1300 557 799,-27.56021,153.082742
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,230 Brunswick Street,FORTITUDE VALLEY,4006,1300 557 799,-27.45583,153.03404
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,320 Adelaide Street,BRISBANE CITY,4000,1300 557 799,-27.464814,153.029022
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,322 Moggill Road,INDOOROOPILLY,4068,1300 557 799,-27.499721,152.972854
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,461-473 Lutwyche Road,LUTWYCHE,4030,1300 557 799,-27.423893,153.03394
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,5 Lawson Street,SOUTHPORT,4215,1300 557 799,-27.970342,153.413672
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,803 Creek Road,CARINDALE,4152,1300 557 799,-27.517081,153.098017
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,9 Sherwood Road,TOOWONG,4066,1300 557 799,-27.485048,152.992507
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Bermuda Street,ROBINA,4230,1300 557 799,-28.04922,153.406514
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Cnr Bermuda Street/Hooker Boulevard,MERMAID WATERS,4218,1300 557 799,-28.035879,153.410039
Fitness First,Health and Fitness,http://www.fitnessfirst.com.au,Cnr North Quay/Herschel Street,NORTH QUAY,4000,1300 557 799,-27.46823,153.018479
Fitness n Motion,Health and Fitness,http://www.fnm.com.au,5  85 Michael Ave,MORAYFIELD,4506,(07) 5428 2088,-27.101627,152.94595
Fitness Paradise Gym and Health Club,Health and Fitness,http://www.fitnessparadise.com.au,51-63 Macrossan Street,PORT DOUGLAS,4877,(07) 4099 5561,-16.485263,145.466787
Fitness Venue Whitsunday,Health and Fitness,http://www.fitnessvenue.com.au,173 Shute Harbour Rd,CANNONVALE,4802,(07) 4946 7703,-20.276796,148.697546
Fitness Venue Whitsunday,Health and Fitness,http://www.sportvenue.com.au,32 Chapman Street,PROSERPINE,4800,(07) 4945 4492,-20.403035,148.582726
Forest Lake Fitness,Health and Fitness,http://www.forestlakefitness.com.au,Cnr Forest Lake Bvd/High Sts,FOREST LAKES,4078,(07) 3279 9450,-27.624976,152.970244
Fort Lytton National Park,Tourist Attraction,http://www.npsr.qld.gov.au,South St,LYTTON,4178,(07) 3393 4647,-27.431789,153.142201
Fraser Coast Market,Tourist Attraction,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Regional Council,Council,http://www.frasercoast.qld.gov.au,Tavistock St,HERVEY BAY,4655,(07) 4197 4337,-25.300307,152.862188
Fraser Coast Show,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH ,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Show Youth Concert,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Fraser Coast Ute Show,Festivals and Shows,http://www.frasercoastshow.com.au,Maryborough Showgrounds,MARYBOROUGH,4650,(07) 4123 5311,-25.535773,152.722274
Freedom Health and Fitness,Health and Fitness,http://freedomhealthandfitness.com.au/beaudesert/,13 Duckett Street,BEAUDESERT,4285,(07) 5541 0999,-27.989004,153.000513
Function Well Personalised Health & Fitness Centre,Health and Fitness,http://www.functionwell.com.au,54 Doggett Street,NEWSTEAD,4005,(07) 3852 3938,-27.453698,153.043278
Gallery of Modern Art (GoMA),Theatre and Arts,http://www.qag.qld.gov.au,Stanley Pl,SOUTH BRISBANE,4101,(07) 3840 7303,-27.471733,153.017068
Gayndah Annual Show,Festivals and Shows,(blank),Spencer St,GAYNDAH,4625,(07) 4161 1477,-25.623229,151.599722
Gayndah YMCA,Health and Fitness,(blank),24 Fielding St,GAYNDAH,4625,(07) 4161 1377,-25.62432,151.604102
Generations Healthy Life Centre,Health and Fitness,(blank),Lot 2 Old Sheep Yard Place,EMERALD,4720,(07) 4987 7319,-23.525246,148.15244
Genesis Fitness Jindalee,Health and Fitness,http://www.genesisjindalee.com.au,225 Sinnamon Rd,JINDALEE,4074,(07) 3713 3999,-27.531274,152.945116
Genesis Fitness Lawnton,Health and Fitness,http://www.genesisfitness.com.au,53 Lawnton Pocket Rd,LAWNTON,4501,(07) 3481 4555,-27.283125,152.989899
Genesis Fitness Rothwell,Health and Fitness,http://www.genesisfitness.com.au,Building 4 Morris Road West,ROTHWELL,4022,(07) 3204 9300,-27.210179,153.047393
Genesis Fitness Townsville,Health and Fitness,http://www.genesisfitness.com.au,45 Carthew Streeet,KIRWAN,4817,(07) 4723 1490,-19.43568,146.502341
Genesis Fitness Windsor,Health and Fitness,http://www.genesisfitness.com.au,"Homezone, 142 Newmarket Rd",WINDSOR,4030,(07) 3857 9000,-27.433045,153.030713
Georgie Conway Leichhardt Community Swim Centre,Sport and Recreation,http://www.ipswich.qld.gov.au/residents/healthy_li,"Leichhardt Swim Centre, Toongarra Rd",LEICHHARDT,4305,(07) 3281 8743,-27.619318,152.755941
Gin Gin Swimming Pool,Health and Fitness,http://www.bundaberg.qld.gov.au,45 Sommerset St,GIN GIN,4671,(07) 4157 2155,-24.991269,151.952551
Gladstone Aquatic Centre,Health and Fitness,http://www.gladstonerc.qld.gov.au,Glenlyon Rd,GLADSTONE,4680,(07) 4972 6822,-23.875555,151.261193
Gladstone Buslink,Transport,http://www.buslinkqld.com.au/,9 Lyons St,GLADSTONE,4680,(07) 4972 1670,-23.857425,151.264482
Gladstone Entertainment Centre,Sport and Recreation,http://www.gladstonerc.qld.gov.au,58 Goondoon St,GLADSTONE,4680,(07) 4972 2822,-23.850802,151.260621
Gladstone Regional Council,Council,http://www.gladstonerc.qld.gov.au,101 Goondoon St,GLADSTONE,4680,(07) 4970 0700,-23.843297,151.255177
Gladstone Show,Festivals and Shows,(blank),Tank & Scenery Streets,GLADSTONE,4680,(07) 4972 1453,-23.851808,151.254056
Gladstone Speedway,Sport and Recreation,(blank),Tank & Scenery Streets,GLADSTONE,4680,0407 720 172,-23.851808,151.254056
Glasshouse Country Coaches,Transport,(blank),242 Pikes Rd,BEERWAH,4519,(07) 5496 9249,-26.882092,152.930626
Go Bush Activities - Brisbane Forest Park,Sport and Recreation,http://www.npsr.qld.gov.au,60 Mt Nebo Rd,THE GAP,4061,1300 130 372,-27.433604,152.924824
Go Bush Activities - Daisy Hill,Sport and Recreation,http://www.npsr.qld.gov.au,Daisy Hill Road,DAISY HILL,4127,1300 130 372,-27.64491,153.152391
Go Health Club Beenleigh,Health and Fitness,http://www.gohealthclubs.com.au,77 George St,BEENLEIGH,4207,(07) 3287 3344,-28.093001,153.449714
Go Health Club Browns Plains,Health and Fitness,http://www.gohealthclubs.com.au,18 Eastern Road,BROWNS PLAINS,4118,(07) 3809 2244,-27.66351,153.044084
Gold Coast Arts Centre,Theatre and Arts,http://www.gcac.com.au,135 Bundall Rd,SURFERS PARADISE,4217,(07) 5581 6500,-28.001514,153.416683
Gold Coast Blaze,Sport and Recreation,http://www.nbl.com.au,Oasis Shp Cnt,BROADBEACH,4218,1300 252 934,-28.029828,153.431948
Gold Coast Little Theatre,Theatre and Arts,http://www.gclt.com.au,21a Scarborough St,SOUTHPORT,4215,(07) 5532 2096,-27.960331,153.408454
Gold Coast Mother's Day Classic,Sport and Recreation,http://www.mothersdayclassic.com.au,Pratten Park - see website for details,BROADBEACH,4218,1300 132 891,-28.039649,153.421559
Gold Coast Recreation Centre,Sport and Recreation,http://www.npsr.qld.gov.au,1525 Gold Coast Hwy,PALM BEACH,4221,(07) 5507 0200,-28.098776,153.460409
Gold Coast Show,Festivals and Shows,http://www.goldcoastshow.com.au,Cnr Smith St/Parklands Dr,SOUTHPORT,4215,(07) 5591 3422,-27.965046,153.385663
Gold Coast SUNS (conditions apply),Sport and Recreation,http://www.goldcoastfc.com.au,Nerang-Broadbeach Road,CARRARA,4211,1300 136 122,-28.014454,153.347877
Gold Coast United Football Club,Sport and Recreation,http://www.goldcoastunited.com.au,Skilled Park,ROBINA,4226,(07) 5559 3906,-28.059807,153.387282
Good Life Health Clubs,Health and Fitness,http://www.goodlifehealthclubs.com.au,19 Robina Town Centre,ROBINA,4226,(07) 5562 3700,-28.077309,153.385307
Good Life Health Clubs,Health and Fitness,http://www.goodlifehealthclubs.com.au,7027 Southport Nerang Rd,NERANG,4211,(07) 5578 0000,-27.98639,153.33756
Goodlife Community Centre Fitness,Health and Fitness,http://www.goodlife.org.au,100 Buderim Pines Drive,BUDERIM PINES,4556,(07) 5444 2126,-26.686768,153.089949
Goodlife Health Club 103,Health and Fitness,http://www.goodlifehealthclubs.com.au,103 Edward Street,BRISBANE,4000,(07) 3229 0422,-27.4701,153.029064
Goodlife Health Club Alexandra Hills,Health and Fitness,http://www.goodlifehealthclubs.com.au,4-10 Windemere Rd,ALEXANDRA HILLS,4161,(07) 3820 1888,-27.52478,153.216171
Goodlife Health Club Ashgrove,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Highpoint Plaza, 240 Waterworks Road",ASHGROVE,4060,(07) 3366 7706,-27.445941,152.99304
Goodlife Health Club Bardon,Health and Fitness,http://www.goodlifehealthclubs.com.au,92 Coolibah Street,BARDON,4065,(07) 3366 3511,-27.455873,152.980631
Goodlife Health Club Booval,Health and Fitness,http://www.goodlifehealthclubs.com.au,Booval Shopping Centre,BOOVAL,4305,(07) 3812 4455,-27.613345,152.786891
Goodlife Health Club Caloundra,Health and Fitness,http://www.goodlifehealthclubs.com.au,54 Caloundra Road,CALOUNDRA,4551,(07) 5413 4600,-26.795922,153.104951
Goodlife Health Club Carseldine,Health and Fitness,http://www.goodlifehealthclubs.com.au,16 Graham Road,CARSELDINE,4034,(07) 3263 9333,-27.356487,153.014321
Goodlife Health Club Chermside,Health and Fitness,http://www.goodlifehealthclubs.com.au,Westfield Shopping Centre,CHERMSIDE,4032,(07) 3326 5555,-27.384459,153.022876
Goodlife Health Club Cleveland,Health and Fitness,http://www.goodlifehealthclubs.com.au,42 Shore Street,CLEVELAND,4160,(07) 3401 9300,-27.524724,153.26437
Goodlife Health Club Graceville,Health and Fitness,http://www.goodlifehealthclubs.com.au,166 Graceville Ave,GRACEVILLE,4075,(07) 3379 3791,-27.522789,152.98884
Goodlife Health Club Helensvale,Health and Fitness,http://www.goodlifehealthclubs.com.au,L 1 Westfield Shp Cnt,HELENSVALE,4212,(07) 5581 2666,-27.929993,153.336956
Goodlife Health Club Holland Park,Health and Fitness,http://www.goodlife.org.au,193 Nursery Rd,HOLLAND PARK,4121,(07) 3849 9700,-27.530232,153.071368
Goodlife Health Club Hyperdome,Health and Fitness,http://www.goodlifehealthclubs.com.au,Logan Hyperdome,SHAILER PARK,4128,(07) 3806 5999,-27.651831,153.184496
Goodlife Health Club Ipswich,Health and Fitness,http://www.goodlifehealthclubs.com.au,Riverlink Shopping Centre,NORTH IPSWICH,4305,(07) 3813 6655,-27.619318,152.755941
Goodlife Health Club Morningside,Health and Fitness,http://www.goodlife.org.au,92 Junction Rd,MORNINGSIDE,4170,(07) 3899 2625,-27.462751,153.080925
Goodlife Health Club Nth Rockhampton,Health and Fitness,http://www.goodlifehealthclubs.com.au,147 Robinson Street,NTH ROCKHAMPTON,4701,(07) 4928 0333,-23.350935,150.527152
Goodlife Health Club The Valley,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Homemaker City North, Wickham Street",FORTITUDE VALLEY,4006,(07) 3358 8400,-27.449212,153.033462
Goodlife Health Club Wintergarden,Health and Fitness,http://www.goodlifehealthclubs.com.au,"Level 3, Wintergarden",BRISBANE,4000,(07) 3231 9955,-27.46598,153.02394
Goombungee Rodeo,Sport and Recreation,(blank),Showgrounds,GOOMBUNGEE,4354,(07) 4694 5470,-27.295577,151.860894
Goombungee-Haden Annual Show,Festivals and Shows,(blank),Showgrounds,GOOMBUNGEE,4354,(07) 4696 5470,-27.295577,151.860894
Goomeri Swimming Pool,Sport and Recreation,http://gympieswimmingpools.com.au,Moore St,GOOMERI,4601,(07) 4168 4201,-26.182131,152.067451
Gordonvale Aquatic Centre,Health and Fitness,(blank),79 Sheppards St,GORDONVALE,4865,(07) 4056 1353,-17.089047,145.780046
Greenmount Historic Homestead,Tourist Attraction,http://www.mackay.qld.gov.au,Greenmount Rd,WALKERSTON,4751,(07) 4959 2250,-21.171631,149.03245
Gulflander,Transport,http://www.gulflander.com.au,Normanton to Croydon,QUEENSLAND,4870,(07) 4036 9355,-17.041376,145.660078
Gym4,Health and Fitness,http://www.gym4.com.au,93 Logan River Road,BEENLEIGH,4207,(07) 3807 4622,-27.713067,153.183391
Gympie Aquatic Recreation Centre,Health and Fitness,http://gympiearc.com.au/,Tozer Park Rd,GYMPIE,4570,1300 129 988,-26.185653,152.673301
Gympie Music Muster,Festivals and Shows,http://www.muster.com.au,See website for venue details,GYMPIE,4570,(07) 5482 2099,-26.169442,152.597263
Gympie Show,Festivals and Shows,http://www.gympieshow.com.au,Exhibition Rd,GYMPIE,4570,(07) 5482 1721,-26.205594,152.641577
H2O Fitness,Health and Fitness,http://www.sleemansports.org.au,Cnr Old Cleveland/Tilley Rds,CHANDLER,4155,(07) 3131 9615,-27.508452,153.149302
Haidleys Panoramic Coaches,Transport,(blank),7 Lyons St,WARWICK,4370,(07) 4661 2816,-28.217523,152.039589
Harry Redford Centre,Tourist Attraction,http://www.barcaldinerc.qld.gov.au,Lodge Street,ARAMAC,4726,(07) 4651 5600,-22.977195,145.242826
Hartley's Crocodile Adventures,Tourist Attraction,http://www.crocodileadventures.com,Captain Cook Hwy,WANGETTI,4877,(07) 4055 3576,-16.628616,145.549136
Hasties Bus Service,Transport,(blank),23 Charles St,INNISFAIL,4860,(07) 4061 2043,-17.524981,146.026152
Hawthorne Cinemas - Conditions apply see website,Cinema,http://www.cineplex.com.au,271 Hawthorne Rd,HAWTHORNE,4171,(07) 3395 6086,-27.469251,153.058165
Healthworks Cleveland,Health and Fitness,http://www.healthworksfitness.com.au,22 John Street,CLEVELAND,4163,(07) 3821 0100,-27.529452,153.266159
Healthworks Fitness Deagon,Health and Fitness,http://www.healthworksfitness.com.au,Deagon Market Square,DEAGON,4017,(07) 3269 5200,-27.313358,153.05247
Healthworks Fitness Margate,Health and Fitness,http://www.healthworksfitness.com.au,328 Oxley Avenue,MARGATE,4019,(07) 3284 3155,-27.241357,153.107763
Healthworks Fitness Sunnybank,Health and Fitness,http://www.healthworksfitness.com.au,Cnr Calam & Compton Rds,SUNNYBANK HILLS,4109,(07) 3272 0148,-27.609919,153.055454
Herbert River Pastoral & Agricultural Show,Festivals and Shows,(blank),Cooper St,INGHAM,4850,(07) 4776 5162,-18.655803,146.152042
Hervey Bay Aquatic Centre,Health and Fitness,http://www.frasercoast.qld.gov.au,Boundary Rd,HERVEY BAY,4655,(07) 4125 9722,-25.302001,152.86934
Hibiscus Sports Centre,Health and Fitness,(blank),90 Klumpp Rd,UPPER MT GRAVATT,4122,(07) 3403 7564,-27.551918,153.072702
Hinchinbrook Shire Council,Council,http://www.hinchinbrook.qld.gov.au,25 Lannercost St,INGHAM,4850,(07) 4776 4600,-18.651262,146.154284
Hinkler Hall of Aviation,Tourist Attraction,http://www.bundaberg.qld.gov.au,6 Mount Perry Rd,BUNDABERG,4670,(07) 4130 4400,-24.853078,152.33645
Hockey Queesland Inc,Sport and Recreation,http://www.hockeyqld.com.au,State Hockey Centre,COLMSLIE,4170,(07) 3399 6577,-27.469957,153.079499
Hornibrook Bus Lines,Transport,http://www.hornibrook.com.au,19 Grice St,CLONTARF,4019,(07) 3284 1622,-27.239311,153.078677
Hou Wang Temple at Atherton Chinatown,Tourist Attraction,http://nationaltrust.org.au,86 Herberton Rd,ATHERTON,4883,(07) 4091 6945,-17.277983,145.471506
Hoyts Redcliffe,Cinema,http://www.hoyts.com.au,Peninsula Fair Shopping Centre,REDCLIFFE,4020,(02) 8071 6132,-27.215953,153.107757
Hoyts Stafford,Cinema,http://www.hoyts.com.au,Stafford City Shopping Centre,STAFFORD,4032,(02) 8071 6132,-27.407487,152.998477
Hoyts Sunnybank,Cinema,http://www.hoyts.com.au,Sunnybank Plaza Shopping Centre,SUNNYBANK,4109,(02) 8071 6132,-27.582067,153.058654
HSBC INternational Rugby Sevens World Series,Sport and Recreation,http://www.rugby.com.au,Skilled Park,ROBINA,4218,(02) 8005 5584,-28.059807,153.387282
Hype Health Club,Health and Fitness,http://www.hypehealthclubs.com.au,109 Currumbin Creek Rd,CURRUMBIN,4223,(07) 5534 3588,-28.233604,153.358822
Hype health Club Toowoomba,Health and Fitness,http://www.hypehealthclubs.com.au,"Centrepoint, 231 James Street",TOOWOOMBA,4350,(07) 4638 7645,-27.573907,151.878568
ifeelgood 24/7 Express Health Club,Health and Fitness,http://www.ifeelgood247.com.au,"Indooroopilly Junction, 100 Coonan St",INDOOROOPILLY,4068,1300 433 354,-27.506026,152.987079
Imax Dome Theatre,Cinema,(blank),Flinders Street East,TOWNSVILLE,4810,(07) 4721 1481,-19.268883,146.806677
Inglewood Show,Festivals and Shows,(blank),Denison St,INGLEWOOD,4387,0412 654 433,-28.417066,151.087745
Innisfail Show ,Festivals and Shows,http://innisfailshow.com.au/,"Pease Park, Palmerston Hwy",INNISFAIL,4860,(07) 4061 3051,-17.405033,145.791349
Insports Cornubia Park,Health and Fitness,http://www.insportslogan.com.au,146 Bryants Rd,SHAILER PARK,4128,(07) 3412 4250,-27.665048,153.188363
Insports Springwood Gym,Health and Fitness,http://www.insportslogan.com.au,2 Sports Drive,UNDERWOOD,4114,(07) 3120 1655,-27.610674,153.118927
Intencity Morayfield - conditions apply,Entertainment,http://www.intencity.com.au,Morayfield Shopping Centre,MORAYFIELD,4506,(07) 5495 1491,-27.103453,152.946787
Ipswich Annual Agricultural Show,Festivals and Shows,http://www.ipswichshow.com.au,81 Warwick Rd,IPSWICH,4305,(07) 3281 1577,-27.62876,152.75832
Ipswich Art Gallery,Theatre and Arts,http://www.ipswichartgallery.qld.gov.au,D'Arcy Doyle Pl,IPSWICH,4305,(07) 3810 7222,-27.614254,152.759069
